x_1,x_2,spectrum,error,stat,cosmic
10,16,774.30,251.79,45.29,206.49
17,24,998.58,167.93,12.45,155.48
25,34,1043.85,169.10,41.72,127.38
35,49,1487.39,144.86,39.02,105.84
50,59,1217.93,185.93,51.78,134.16
60,69,1537.69,196.20,54.77,141.43
70,79,1613.74,227.90,78.08,149.83
80,89,2038.03,234.59,78.17,156.42
90,99,2275.57,259.14,93.19,165.95
100,119,2586.39,205.73,74.90,130.83
120,139,3193.32,238.96,90.13,148.83
140,159,3148.90,274.09,110.98,163.11
160,179,4225.30,313.31,138.36,174.94
180,199,4941.11,339.49,159.19,180.30
200,219,4589.10,369.35,189.20,180.15
220,239,5085.63,392.79,219.76,173.04
240,259,4258.70,421.98,263.44,158.54
260,279,4356.02,375.16,235.98,139.18
280,309,3174.39,325.63,233.24,92.39
310,349,2325.28,302.89,247.84,55.05
350,399,1960.58,322.54,292.40,30.14
400,449,1832.56,419.36,394.43,24.93
450,524,2569.77,508.70,483.81,24.89
525,599,2394.14,799.96,774.55,25.41
600,699,1885.96,1183.81,1168.50,15.31
